iata,icao
QH,LYN
QK,JZA
QL,LER
QN,ARR
QO,FQA
QQ,UTY
QR,QTR
QS,TVS
QT,TPA
QU,UTN
QV,LAO
QW,QDA
QX,QXE
QY,BCS
QZ,AWQ
R4,RLB
R5,JAV
R6,DNU
R7,OCA
R8,SUV
R9,SSB
RA,RNA
RB,SYR
RC,FLI
RE,GJM
RF,FWL
RG,RJD
RH,RPH
RI,RII
RJ,RJA
RK,RUK
RL,ABG
RM,NGT
RO,ROT
RQ,KMF
RR,RRR
RS,ASV
RT,UVT
RU,ABW
RV,ROU
RX,RXI
RY,CJX
RZ,LRS
S0,OKS
S2,JLL
S3,BBR
S4,RZO
S5,LLC
S6,SRR
S7,SBI
S8,AHW
SA,SAA
SB,ACI
SC,CDG
SD,SUD
SE,XLF
SF,DTH
SG,SEJ
SI,BCI
SJ,SJY
SK,SAS
SL,TLM
SM,MSC
SN,BEL
SP,SAT
SR,SDR
SQ,SIA
SS,CRL
ST,GMI
SU,AFL
SV,SVA
SW,NUM
SX,SRK
SY,SCX
SZ,SMR
T0,TPU
T2,TCX
T3,EZE
T4,RDS
T5,TUA
T6,ATX
T9,AVV
TA,TAI
TB,JAF
TB,JAF
TC,ATC
TE,IGA
TF,SCW
TG,THA
TH,RMY
TJ,GPD
TK,THY
TL,ANO
TM,LAM
TN,THT
TO,TVF
TP,TAP
TQ,TDM
TR,TGW
TS,TSC
TT,TGG
TU,TAR
TV,TBA
TW,TWB
TX,CAJ
TY,TPC
TZ,SCO
U2,EZY
U3,SAY
U4,BHA
U5,SEU
U6,SVR
U7,UCG
U8,CYF
UA,UAL
UB,UBA
UC,LCO
UD,HER
UE,UJC
UF,UKM
UG,TUX
UH,UJX
UI,AUK
UJ,LMU
UK,VTI
UL,ALK
UM,AZW
UO,HKE
UP,UPS
UQ,CUH
UT,UTA
UU,REU
UW,UTP
UX,AEA
UY,SPD
UZ,BRQ
V0,VCV
V2,TWN
V3,KRP
V5,DAP
V6,VIL
V7,VOE
V8,TPS
V9,VAA
VA,VAU
VB,VIV
VC,SRY
VE,EFY
VF,TKJ
VH,ALV
VI,VDA
VJ,VJC
VL,LHX
VM,NGL
VN,HVN
VO,WLM
VP,VQI
VQ,NVQ
VR,TCV
VS,VIR
VT,VTA
VU,FIA
VV,VPE
VW,TAO
VX,VRD
VY,VLG
W2,FXT
W3,FYH
W4,WMT
W5,IRM
W6,WZZ
W7,WLB
W8,CJT
W9,WUK
WA,KLC
WB,RWD
WC,ISV
WD,MWM
WF,WIF
WG,SWG
WI,CEL
WJ,LAL
WK,EDW
WL,WAL
WM,WIA
WN,SWA
WP,MKU
WR,WEN
WS,WJA
WT,SWT
WW,WOW
WX,BCY
WY,OMA
WZ,RWZ
X3,TUI
X9,NVD
XA,MNB
XB,IAT
XC,CAI
XE,JSX
XG,SXD
XH,XXH
XJ,TAX
XK,CCM
XL,LNE
XM,IMX
XN,XAR
XO,SGD
XP,CXP
XQ,SXS
XR,CXI
XS,SIT
XT,IDX
XU,AXK
XW,NCT
XY,KNE
XZ,EXY
Y2,CEY
Y3,GRF
Y4,VOI
Y5,GMR
Y7,TYA
Y8,YZR
Y9,KIS
YB,BRJ
YC,LLM
YD,SYG
YE,ANR
YG,HYT
YH,AYG
YI,RSI
YJ,AWM
YK,AVJ
YM,MGX
YN,CRQ
YO,MCM
YQ,LCT
YR,EGJ
YS,RAE
YT,NYT
YU,ASL
YV,ASH
YW,ANE
YX,MEP
Z0,UBT
Z2,EZD
Z3,TNR
Z4,GZQ
Z5,GAA
Z6,UDN
Z7,AUZ
Z8,AZN
Z9,BEK
ZA,SWM
ZB,MON
ZC,FZW
ZD,EWR
ZE,ESR
ZH,CSZ
ZI,AAF
ZJ,ARC
ZL,REX
ZM,MBB
ZN,NAY
ZR,AZS
ZT,AWC
ZU,SAV
ZW,AWI
ZX,GGN
ZY,CHY
